monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.254241086Z level=info msg="Executing migration" id="drop index UQE_user_login - v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.254557174Z level=info msg="Migration successfully executed" id="drop index UQE_user_login - v1" duration=315.977µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.255803768Z level=info msg="Executing migration" id="drop index UQE_user_email - v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.256089096Z level=info msg="Migration successfully executed" id="drop index UQE_user_email - v1" duration=285.399µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.257292828Z level=info msg="Executing migration" id="Rename table user to user_v1 - v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.258366366Z level=info msg="Migration successfully executed" id="Rename table user to user_v1 - v1" duration=1.073156ms
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.25966169Z level=info msg="Executing migration" id="create user table v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.260006876Z level=info msg="Migration successfully executed" id="create user table v2" duration=345.068µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.261307349Z level=info msg="Executing migration" id="create index UQE_user_login - v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.261640627Z level=info msg="Migration successfully executed" id="create index UQE_user_login - v2" duration=333.293µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.263088307Z level=info msg="Executing migration" id="create index UQE_user_email - v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.263405138Z level=info msg="Migration successfully executed" id="create index UQE_user_email - v2" duration=318.974µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.264843784Z level=info msg="Executing migration" id="copy data_source v1 to v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.265003358Z level=info msg="Migration successfully executed" id="copy data_source v1 to v2" duration=159.98µs
